time,src,dst,latency
990,754,104,91.395388
990,692,758,70.579817
990,558,89,-1.000000
990,604,432,-1.000000
990,32,30,2.421476
990,95,223,14.849759
1000,654,114,95.520209
1000,25,759,44.850930
1000,281,250,37.541338
1000,228,142,41.212933
1000,754,104,91.355652
1000,692,758,70.581565
1000,558,89,-1.000000
1000,604,432,-1.000000
1000,32,30,2.421475
1000,95,223,14.855455
1010,654,114,95.444846
1010,25,759,44.938507
1010,281,250,37.540978
1010,228,142,41.212555
1010,754,104,91.314391
1010,692,758,70.583067
1010,558,89,-1.000000
1010,604,432,-1.000000
1010,32,30,2.421441
1010,95,223,14.860938
1020,654,114,95.369174
1020,25,759,45.025493
1020,281,250,37.540671
1020,228,142,41.212197
1020,754,104,91.271537
1020,692,758,70.584340
1020,558,89,-1.000000
1020,604,432,-1.000000
1020,32,30,2.421422
1020,95,223,14.866089
1030,654,114,95.293452
1030,25,759,45.112002
1030,281,250,37.540323
1030,228,142,41.211811
1030,754,104,91.227170
1030,692,758,70.585261
1030,558,89,-1.000000
1030,604,432,-1.000000
1030,32,30,2.421399
1030,95,223,14.870956
1040,654,114,95.217532
1040,25,759,45.197902
1040,281,250,37.539980
1040,228,142,41.211447
1040,754,104,91.181265
1040,692,758,70.585911
1040,558,89,-1.000000
1040,604,432,-1.000000
1040,32,30,2.421385
1040,95,223,14.875601
1050,654,114,95.141460
1050,25,759,45.283151
1050,281,250,37.539661
1050,228,142,41.211057
1050,754,104,91.133860
1050,692,758,70.586328
1050,558,89,-1.000000
1050,604,432,-1.000000
1050,32,30,2.421328
1050,95,223,14.879921
1060,654,114,95.065410
1060,25,759,45.367734
1060,281,250,37.539320
1060,228,142,41.210699
1060,754,104,91.084934
1060,692,758,70.586423
1060,558,89,-1.000000
1060,604,432,-1.000000
1060,32,30,2.421360
1060,95,223,14.883957
1070,654,114,-1.000000
1070,25,759,45.451623
1070,281,250,37.538994
1070,228,142,41.210320
1070,754,104,91.034550
1070,692,758,70.586289
1070,558,89,-1.000000
1070,604,432,-1.000000
1070,32,30,2.421290
1070,95,223,14.887766
1080,654,114,-1.000000
1080,25,759,45.534783
1080,281,250,37.538653
1080,228,142,41.209932
1080,754,104,90.982695
1080,692,758,70.585795
1080,558,89,-1.000000
1080,604,432,-1.000000
1080,32,30,2.421254
1080,95,223,14.891252
1090,654,114,-1.000000
1090,25,759,45.617161
1090,281,250,37.538341
1090,228,142,-1.000000
1090,754,104,90.929368
1090,692,758,70.585028
1090,558,89,-1.000000
1090,604,432,-1.000000
1090,32,30,2.421264
1090,95,223,14.894491
1100,654,114,-1.000000
1100,25,759,45.698768
1100,281,250,37.537994
1100,228,142,41.209135
1100,754,104,90.874613
1100,692,758,70.584056
1100,558,89,-1.000000
1100,604,432,-1.000000
1100,32,30,2.421249
1100,95,223,14.897397
1110,654,114,-1.000000
1110,25,759,45.779517
1110,281,250,37.537672
1110,228,142,41.208784
1110,754,104,90.818522
1110,692,758,70.582789
1110,558,89,-1.000000
1110,604,432,-1.000000
1110,32,30,2.421225
1110,95,223,14.900042
1120,654,114,-1.000000
1120,25,759,45.859441
1120,281,250,37.537352
1120,228,142,41.208382
1120,754,104,90.760931
1120,692,758,70.581212
1120,558,89,-1.000000
1120,604,432,-1.000000
1120,32,30,2.421198
1120,95,223,14.902403
1130,654,114,-1.000000
1130,25,759,45.938415
1130,281,250,37.537009
1130,228,142,41.208030
1130,754,104,90.702009
1130,692,758,70.579318
1130,558,89,-1.000000
1130,604,432,-1.000000
1130,32,30,2.421161
1130,95,223,14.904508
1140,654,114,-1.000000
1140,25,759,46.016506
1140,281,250,37.536698
1140,228,142,-1.000000
1140,754,104,90.641779
1140,692,758,70.577162
1140,558,89,-1.000000
1140,604,432,-1.000000
1140,32,30,2.421167
1140,95,223,14.906269
1150,654,114,-1.000000
1150,25,759,46.093675
1150,281,250,37.536351
1150,228,142,41.207240
1150,754,104,90.580182
1150,692,758,70.574783
1150,558,89,-1.000000
1150,604,432,-1.000000
1150,32,30,2.421162
1150,95,223,14.907787
1160,654,114,-1.000000
1160,25,759,46.169790
1160,281,250,37.536036
1160,228,142,41.206866
1160,754,104,90.517277
1160,692,758,70.572111
1160,558,89,-1.000000
1160,604,432,-1.000000
1160,32,30,2.421100
1160,95,223,14.908985
1170,654,114,-1.000000
1170,25,759,46.244948
1170,281,250,37.535741
1170,228,142,41.206470
1170,754,104,90.453041
1170,692,758,70.569159
1170,558,89,-1.000000
1170,604,432,-1.000000
1170,32,30,2.421115
1170,95,223,14.909899
1180,654,114,-1.000000
1180,25,759,46.319029
1180,281,250,37.535403
1180,228,142,41.206063
1180,754,104,90.387606
1180,692,758,70.565934
1180,558,89,-1.000000
1180,604,432,-1.000000
1180,32,30,2.421096
1180,95,223,14.910543
1190,654,114,-1.000000
1190,25,759,46.392063
1190,281,250,37.535073
1190,228,142,-1.000000
1190,754,104,90.320904
1190,692,758,70.562404
1190,558,89,-1.000000
1190,604,432,-1.000000
1190,32,30,2.421075
1190,95,223,14.910899
1200,654,114,-1.000000
1200,25,759,46.463985
1200,281,250,37.534740
1200,228,142,41.205289
1200,754,104,90.252995
1200,692,758,70.558687
1200,558,89,-1.000000
1200,604,432,-1.000000
1200,32,30,2.421044
1200,95,223,14.910909
1210,654,114,-1.000000
1210,25,759,46.534821
1210,281,250,37.534461
1210,228,142,41.204910
1210,754,104,90.183886
1210,692,758,70.554592
1210,558,89,-1.000000
1210,604,432,-1.000000
1210,32,30,2.421043
1210,95,223,14.910722
1220,654,114,-1.000000
1220,25,759,46.604519
1220,281,250,37.534104
1220,228,142,41.204496
